mensaje_limpio,incidente,area,coincidencias
Hubo perdi hace poco en patio de comidas.,objeto perdido,seguridad,1
En área infantil un cliente reporta mojado cerca de Pícaro Resto Grill.,fuga de agua,mantenimiento,1
un chico comentó que vio lastimado por pasillo central.,caida,sso,1
Hubo goteo hace poco en área infantil.,fuga de agua,mantenimiento,1
Se detecta algo relacionado con vehiculo en segundo piso.,vehiculo mal estacionado,seguridad,1
Un cliente molesto dice que hubo papeles cerca de Pícaro Resto Grill.,perdida de documentos,administracion,1
Se observa alto volumen a la altura de patio de comidas.,ruido excesivo,administracion,1
Mensaje recibido: agresion en zona coworking.,pelea,seguridad,1
Un colaborador menciona haber visto resbale en segundo piso.,caida,sso,1
Un guardia indica que hubo carpeta en zona coworking.,perdida de documentos,administracion,1
durísimo comentó que vio expuesto por baños del segundo piso.,cableado suelto,mantenimiento,1
Hubo atorado hace poco en zona de parqueaderos.,ascensor en falla,mantenimiento,1
Se observa promocion a la altura de fuera de Pycca.,publicidad,mercadeo,2
Parece que hubo anuncio afuera de Juan Valdez.,publicidad,mercadeo,1
Un visitante dice que encontró se me cayo cerca de Valentina.,objeto perdido,seguridad,1
Personal de limpieza vio sin luz en planta baja.,iluminacion danada,mantenimiento,2
Un cliente molesto dice que hubo herido cerca de Sweet & Coffee.,emergencia medica,sso,1
Guardias revisan caso de bulla fuera de Adidas Store.,ruido excesivo,administracion,1
Guardias revisan caso de archivo fuera de Adidas Store.,perdida de documentos,administracion,1
Mensaje recibido: mal parqueado en zona coworking.,vehiculo mal estacionado,seguridad,1
durísimo comentó que vio no responde por cerca de Cinemark.,inconsciencia,sso,1
Se detecta algo relacionado con accidente escalera en cerca de Cinemark.,caida,sso,3
durísimo comentó que vio no encuentro por planta baja.,objeto perdido,seguridad,1
está feo eso comentó que vio molestia por terraza.,queja de cliente,recepcion,1
"Reportan ambulancia en junto a Tía, estaba pasando entre durísimo.",inconsciencia,sso,1
Por radios informan documento en patio de comidas.,perdida de documentos,administracion,1
Un visitante dice que encontró amenazas cerca de Mega Kywi.,robo,seguridad,2
Un cliente molesto dice que hubo escalera cerca de Valentina.,accidente en escalera,sso,1
Por radios informan molestia en área infantil.,queja de cliente,recepcion,1
Se detecta algo relacionado con inundacion en junto a Tía.,fuga de agua,mantenimiento,1
Mensaje recibido: escalera en zona de carga.,accidente en escalera,sso,1
Por radios informan cable en zona de carga.,cableado suelto,mantenimiento,1
"Alguien avisó de molestia en frente a Mega Kywi, estaba un guardia.",queja de cliente,recepcion,1
Personal de limpieza vio corto circuito en entrada principal.,cableado suelto,mantenimiento,1
Se genera alerta por ladron en el sector de Mega Kywi.,robo,seguridad,1
Por radios informan no encuentro en junto a Tía.,objeto perdido,seguridad,1
Se observa goteo a la altura de junto a Tía.,fuga de agua,mantenimiento,1
Un visitante dice que encontró estacionado cerca de KFC.,vehiculo mal estacionado,seguridad,1
Mensaje recibido: oscuridad en área bancaria.,iluminacion danada,mantenimiento,1
"Reportan evento en patio de comidas, estaba pasando entre full gente.",montaje de evento,mercadeo,1
medio raro comentó que vio agua por zona de parqueaderos.,persona sospechosa,seguridad,2
Un guardia indica que hubo desmayado en fuera de Pycca.,inconsciencia,sso,1
Un cliente molesto dice que hubo vehiculo cerca de De Prati.,vehiculo mal estacionado,seguridad,1
En piso 1 un cliente reporta no encuentro cerca de Starbucks.,objeto perdido,seguridad,1
Guardias revisan caso de archivo fuera de Marathon Sports.,perdida de documentos,administracion,1
Guardias revisan caso de molestia ruido fuera de Doña Menestra.,queja de cliente,recepcion,3
"Reportan accidente escalera en área infantil, estaba pasando entre está feo eso.",caida,sso,3
Un colaborador menciona haber visto resbalon en planta baja.,caida,sso,1
Notifican desde junto a Tía que ocurrió rina.,pelea,seguridad,1
Por radios informan publicidad en terraza.,publicidad,mercadeo,1
Se detecta algo relacionado con cable en zona coworking.,cableado suelto,mantenimiento,1
Varias personas mencionan ladron afuera de Movistar.,robo,seguridad,1
Por radios informan gritando en segundo piso.,pelea,seguridad,1
Personal de limpieza vio mal servicio en junto a Tía.,queja de cliente,recepcion,1
Guardias revisan caso de agresion fuera de Tony Roma's.,pelea,seguridad,1
Hubo raro hace poco en terraza.,persona sospechosa,seguridad,1
Un guardia indica que hubo publicidad en área infantil.,publicidad,mercadeo,1
Un cliente molesto dice que hubo inundacion cerca de Adidas Store.,fuga de agua,mantenimiento,1
En piso 1 un cliente reporta agresion cerca de Mega Kywi.,pelea,seguridad,1
Hubo obstruyendo hace poco en terraza.,vehiculo mal estacionado,seguridad,1
Un visitante dice que encontró papeles cerca de Movistar.,perdida de documentos,administracion,1
Guardias revisan caso de estacionado fuera de Pícaro Resto Grill.,vehiculo mal estacionado,seguridad,1
Se genera alerta por mal servicio en el sector de Doña Menestra.,queja de cliente,recepcion,1
Varias personas mencionan obstruyendo afuera de McDonald's.,vehiculo mal estacionado,seguridad,1
"Alguien avisó de auxilio en patio de comidas, estaba medio raro.",persona sospechosa,seguridad,2
Un colaborador menciona haber visto iluminacion en segundo piso.,iluminacion danada,mantenimiento,1
Un colaborador menciona haber visto se desmayo en área infantil.,inconsciencia,sso,1
Parece que hubo montaje afuera de Juan Valdez.,montaje de evento,mercadeo,1
Notifican desde área bancaria que ocurrió mojado.,fuga de agua,mantenimiento,1
Un colaborador menciona haber visto perdido en planta baja.,objeto perdido,seguridad,2
Un colaborador menciona haber visto ayuda medica en patio de comidas.,emergencia medica,sso,1
Personal de limpieza vio insatisfecho en zona de carga.,queja de cliente,recepcion,1
"Alguien avisó de herido en pasillo central, estaba como que.",emergencia medica,sso,1
Un cliente molesto dice que hubo sin luz cerca de Cinemark.,iluminacion danada,mantenimiento,2
Guardias revisan caso de conflicto fuera de Doña Menestra.,pelea,seguridad,1
"Alguien avisó de atencion pesima en área infantil, estaba un chico.",queja de cliente,recepcion,1
Guardias revisan caso de vigilado fuera de Juan Valdez.,persona sospechosa,seguridad,1
Un colaborador menciona haber visto ambulancia en planta baja.,inconsciencia,sso,1
Un cliente molesto dice que hubo herido cerca de McDonald's.,emergencia medica,sso,1
Notifican desde segundo piso que ocurrió atencion medica.,emergencia medica,sso,1
Mensaje recibido: auxilio en área bancaria.,inconsciencia,sso,1
justito comentó que vio pelea por fuera de Pycca.,pelea,seguridad,1
Un cliente molesto dice que hubo alto volumen cerca de De Prati.,ruido excesivo,administracion,1
Varias personas mencionan perdido afuera de Juan Valdez.,objeto perdido,seguridad,2
Un guardia indica que hubo cable en zona coworking.,cableado suelto,mantenimiento,1
Se detecta algo relacionado con violencia en junto a las escaleras eléctricas.,robo,seguridad,2
Se observa golpes a la altura de zona de carga.,pelea,seguridad,2
En planta baja un cliente reporta se desmayo cerca de Doña Menestra.,inconsciencia,sso,1
Personal de limpieza vio insatisfecho en junto a Tía.,queja de cliente,recepcion,1
Un visitante dice que encontró molestia ruido cerca de Marathon Sports.,queja de cliente,recepcion,3
Personal de limpieza vio retirar en baños del segundo piso.,retiro material publicitario,mercadeo,1
Visitantes informan documento cerca de zona de parqueaderos.,perdida de documentos,administracion,1
"Reportan obstruyendo en área infantil, estaba pasando entre según dicen.",vehiculo mal estacionado,seguridad,1
Se detecta algo relacionado con lastimado en junto a Tía.,caida,sso,1
Notifican desde zona de parqueaderos que ocurrió comportamiento extrano.,persona sospechosa,seguridad,1
Por radios informan atencion medica en baños del segundo piso.,emergencia medica,sso,1
Personal de limpieza vio decoracion en patio de comidas.,montaje de evento,mercadeo,1
En zona de carga un cliente reporta auxilio cerca de Tony Roma's.,inconsciencia,sso,1
Notifican desde área bancaria que ocurrió mal parqueado.,vehiculo mal estacionado,seguridad,1
Se observa ascensor a la altura de segundo piso.,ascensor en falla,mantenimiento,1
Un guardia indica que hubo tropece en junto a Tía.,caida,sso,1
Un visitante dice que encontró extraviado cerca de Sweet & Coffee.,objeto perdido,seguridad,1
Por radios informan forzaron en junto a Tía.,robo,seguridad,1
Por radios informan atorado en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Un visitante dice que encontró bulla cerca de Mega Kywi.,ruido excesivo,administracion,1
En cerca de Cinemark un cliente reporta retirar cerca de Tía.,retiro material publicitario,mercadeo,1
Notifican desde entrada principal que ocurrió no responde.,inconsciencia,sso,1
Un colaborador menciona haber visto anuncio en baños del segundo piso.,publicidad,mercadeo,1
Se genera alerta por no encuentro en el sector de Doña Menestra.,objeto perdido,seguridad,1
Se genera alerta por bloqueando en el sector de KFC.,vehiculo mal estacionado,seguridad,1
Por radios informan no encuentro en junto a Tía.,objeto perdido,seguridad,1
Un guardia indica que hubo desmayado en planta baja.,inconsciencia,sso,1
Un visitante dice que encontró molestia ruido cerca de Mi Comisariato.,queja de cliente,recepcion,3
Un cliente molesto dice que hubo tropece cerca de Coral Hipermercados.,caida,sso,1
Un colaborador menciona haber visto molestia ruido en patio de comidas.,queja de cliente,recepcion,3
Hubo anuncio hace poco en terraza.,publicidad,mercadeo,1
Notifican desde zona coworking que ocurrió stand.,montaje de evento,mercadeo,1
Parece que hubo amenazas afuera de KFC.,robo,seguridad,2
Un colaborador menciona haber visto corto circuito en frente a Mega Kywi.,cableado suelto,mantenimiento,1
Personal de limpieza vio evento en patio de comidas.,montaje de evento,mercadeo,1
Se detecta algo relacionado con escenario en patio de comidas.,montaje de evento,mercadeo,1
Se observa no funciona ascensor a la altura de zona de carga.,ascensor en falla,mantenimiento,2
En frente a Mega Kywi un cliente reporta publicidad cerca de Tony Roma's.,publicidad,mercadeo,1
Personal de limpieza vio ruido en piso 1.,ruido excesivo,administracion,1
Se detecta algo relacionado con quejar en frente a Mega Kywi.,queja de cliente,recepcion,2
un guardia comentó que vio fractura por junto a Tía.,emergencia medica,sso,1
Por radios informan emergencia en patio de comidas.,inconsciencia,sso,1
Hubo dolor fuerte hace poco en pasillo central.,emergencia medica,sso,1
Un guardia indica que hubo anuncio en baños del segundo piso.,publicidad,mercadeo,1
Guardias revisan caso de bloqueando fuera de Mi Comisariato.,vehiculo mal estacionado,seguridad,1
Personal de limpieza vio escenario en cerca de Cinemark.,montaje de evento,mercadeo,1
está feo eso comentó que vio robado por segundo piso.,robo,seguridad,1
Notifican desde piso 1 que ocurrió tuberia rota.,fuga de agua,mantenimiento,1
Guardias revisan caso de foco fuera de De Prati.,iluminacion danada,mantenimiento,1
Mensaje recibido: bulla en zona de carga.,ruido excesivo,administracion,1
Un cliente molesto dice que hubo iluminacion cerca de De Prati.,iluminacion danada,mantenimiento,1
Un visitante dice que encontró desmontar cerca de Starbucks.,retiro material publicitario,mercadeo,1
Personal de limpieza vio remover en segundo piso.,retiro material publicitario,mercadeo,1
Personal de limpieza vio emergencia en junto a Tía.,inconsciencia,sso,1
Un guardia indica que hubo bloqueando en área bancaria.,vehiculo mal estacionado,seguridad,1
Hubo carpeta hace poco en terraza.,perdida de documentos,administracion,1
Guardias revisan caso de tropece fuera de Pycca.,caida,sso,1
Se observa documento a la altura de junto a Tía.,perdida de documentos,administracion,1
Varias personas mencionan estacionado afuera de McDonald's.,vehiculo mal estacionado,seguridad,1
Por radios informan cables sueltos en zona de carga.,cableado suelto,mantenimiento,2
"Alguien avisó de molestia en área infantil, estaba a cada rato.",queja de cliente,recepcion,1
Se detecta algo relacionado con me cai en zona coworking.,caida,sso,1
Se genera alerta por bulla en el sector de Sweet & Coffee.,ruido excesivo,administracion,1
Notifican desde junto a Tía que ocurrió flyer.,publicidad,mercadeo,1
Se detecta algo relacionado con electricidad en zona de parqueaderos.,cableado suelto,mantenimiento,1
Mensaje recibido: golpes en zona de carga.,pelea,seguridad,2
Visitantes informan discutiendo cerca de baños del segundo piso.,pelea,seguridad,1
Un colaborador menciona haber visto me cai en frente a Mega Kywi.,caida,sso,1
Se observa archivo a la altura de área bancaria.,perdida de documentos,administracion,1
Por radios informan montaje en piso 1.,montaje de evento,mercadeo,1
En zona coworking un cliente reporta promo cerca de Mega Kywi.,publicidad,mercadeo,1
Hubo insatisfecho hace poco en planta baja.,queja de cliente,recepcion,1
Notifican desde zona de parqueaderos que ocurrió decoracion.,montaje de evento,mercadeo,1
Guardias revisan caso de estacionado fuera de Movistar.,vehiculo mal estacionado,seguridad,1
Hubo tropece hace poco en cerca de Cinemark.,caida,sso,1
Parece que hubo remover afuera de Coral Hipermercados.,retiro material publicitario,mercadeo,1
"Reportan bulla en frente a Mega Kywi, estaba pasando entre un chico.",ruido excesivo,administracion,1
Un guardia indica que hubo pistola en baños del segundo piso.,robo,seguridad,1
Un visitante dice que encontró molestia ruido cerca de Mega Kywi.,queja de cliente,recepcion,3
Varias personas mencionan robaron afuera de Pycca.,robo,seguridad,1
Personal de limpieza vio insatisfecho en frente a Mega Kywi.,queja de cliente,recepcion,1
En zona de carga un cliente reporta fuga cerca de Starbucks.,fuga de agua,mantenimiento,1
Un visitante dice que encontró se cayo escalera cerca de Doña Menestra.,accidente en escalera,sso,2
Varias personas mencionan expuesto afuera de Pícaro Resto Grill.,cableado suelto,mantenimiento,1
Un visitante dice que encontró promocion cerca de Tony Roma's.,publicidad,mercadeo,2
Un cliente molesto dice que hubo discutiendo cerca de Isla de helados.,pelea,seguridad,1
Notifican desde cerca de Cinemark que ocurrió gritando.,pelea,seguridad,1
"Reportan stand en área infantil, estaba pasando entre como que.",montaje de evento,mercadeo,1
Un cliente molesto dice que hubo golpes cerca de Pycca.,pelea,seguridad,2
Se detecta algo relacionado con mal parqueado en junto a Tía.,vehiculo mal estacionado,seguridad,1
Se genera alerta por ruido en el sector de Tía.,ruido excesivo,administracion,1
Un guardia indica que hubo decoracion en área infantil.,montaje de evento,mercadeo,1
Un colaborador menciona haber visto se cayo escalera en área infantil.,accidente en escalera,sso,2
Personal de limpieza vio retirar en junto a Tía.,retiro material publicitario,mercadeo,1
Un guardia indica que hubo documento en patio de comidas.,perdida de documentos,administracion,1
Hubo decoracion hace poco en frente a Mega Kywi.,montaje de evento,mercadeo,1
Se observa promo a la altura de terraza.,publicidad,mercadeo,1
Un guardia indica que hubo violencia fisica en área infantil.,robo,seguridad,2
un man comentó que vio mal parqueado por piso 1.,vehiculo mal estacionado,seguridad,1
full gente comentó que vio agresion por piso 1.,pelea,seguridad,1
Se detecta algo relacionado con comportamiento extrano en zona de carga.,persona sospechosa,seguridad,1
Visitantes informan charco cerca de fuera de Pycca.,fuga de agua,mantenimiento,1
Personal de limpieza vio archivo en patio de comidas.,perdida de documentos,administracion,1
"Reportan escalera en zona de carga, estaba pasando entre como que.",accidente en escalera,sso,1
un guardia comentó que vio golpes por área infantil.,pelea,seguridad,2
Personal de limpieza vio golpes en entrada principal.,pelea,seguridad,2
Parece que hubo parpadeando afuera de Cinemark.,iluminacion danada,mantenimiento,1
En planta baja un cliente reporta alto volumen cerca de Sweet & Coffee.,ruido excesivo,administracion,1
Se detecta algo relacionado con publicidad en zona de parqueaderos.,publicidad,mercadeo,1
"Reportan dolor fuerte en planta baja, estaba pasando entre parece que.",emergencia medica,sso,1
Personal de limpieza vio bloqueando en cerca de Cinemark.,vehiculo mal estacionado,seguridad,1
está feo eso comentó que vio extraviado por área infantil.,objeto perdido,seguridad,1
Se detecta algo relacionado con inconsciente en patio de comidas.,inconsciencia,sso,1
Un guardia indica que hubo documento en entrada principal.,perdida de documentos,administracion,1
"Reportan mal servicio en zona de parqueaderos, estaba pasando entre un man.",queja de cliente,recepcion,1
Hubo atencion medica hace poco en planta baja.,emergencia medica,sso,1
recién pasó comentó que vio quitar publicidad por baños del segundo piso.,publicidad,mercadeo,2
Un cliente molesto dice que hubo traba cerca de Pycca.,ascensor en falla,mantenimiento,1
"Alguien avisó de queja en zona de parqueaderos, estaba parece que.",queja de cliente,recepcion,1
Se genera alerta por electricidad en el sector de KFC.,cableado suelto,mantenimiento,1
Un cliente molesto dice que hubo fuga cerca de Doña Menestra.,fuga de agua,mantenimiento,1
Hubo bulla hace poco en cerca de Cinemark.,ruido excesivo,administracion,1
Hubo montaje hace poco en zona coworking.,montaje de evento,mercadeo,1
Se detecta algo relacionado con se cayo escalera en área bancaria.,accidente en escalera,sso,2
Por radios informan corto circuito en cerca de Cinemark.,cableado suelto,mantenimiento,1
Guardias revisan caso de rina fuera de Mi Comisariato.,pelea,seguridad,1
Varias personas mencionan bulla afuera de Coral Hipermercados.,ruido excesivo,administracion,1
"Reportan publicidad en área infantil, estaba pasando entre está feo eso.",publicidad,mercadeo,1
Hubo evento hace poco en baños del segundo piso.,montaje de evento,mercadeo,1
Un cliente molesto dice que hubo carpeta cerca de Pycca.,perdida de documentos,administracion,1
Guardias revisan caso de extraviado fuera de KFC.,objeto perdido,seguridad,1
Hubo bulla hace poco en zona coworking.,ruido excesivo,administracion,1
Guardias revisan caso de decoracion fuera de Sweet & Coffee.,montaje de evento,mercadeo,1
full gente comentó que vio ruido por frente a Mega Kywi.,ruido excesivo,administracion,1
Por radios informan traba en junto a Tía.,ascensor en falla,mantenimiento,1
Se observa corto circuito a la altura de patio de comidas.,cableado suelto,mantenimiento,1
Se observa montaje a la altura de baños del segundo piso.,montaje de evento,mercadeo,1
Un colaborador menciona haber visto escalera en junto a las escaleras eléctricas.,accidente en escalera,sso,1
"Alguien avisó de carterazo en zona de parqueaderos, estaba un guardia.",robo,seguridad,1
Guardias revisan caso de ambulancia fuera de Claro.,inconsciencia,sso,1
Un visitante dice que encontró corto circuito cerca de Claro.,cableado suelto,mantenimiento,1
Mensaje recibido: sangre en segundo piso.,emergencia medica,sso,1
Hubo mojado hace poco en piso 1.,fuga de agua,mantenimiento,1
En patio de comidas un cliente reporta traba cerca de Pycca.,ascensor en falla,mantenimiento,1
como que comentó que vio apagado por entrada principal.,iluminacion danada,mantenimiento,1
Visitantes informan retirar cerca de segundo piso.,retiro material publicitario,mercadeo,1
Un colaborador menciona haber visto flyer en patio de comidas.,publicidad,mercadeo,1
Varias personas mencionan desmontar afuera de Cinemark.,retiro material publicitario,mercadeo,1
En zona de carga un cliente reporta fractura cerca de Pícaro Resto Grill.,emergencia medica,sso,1
Guardias revisan caso de tropiezo escalera fuera de Doña Menestra.,accidente en escalera,sso,2
Visitantes informan desmontar cerca de área infantil.,retiro material publicitario,mercadeo,1
Notifican desde fuera de Pycca que ocurrió perdi documento.,objeto perdido,seguridad,3
Parece que hubo golpe afuera de Mega Kywi.,caida,sso,1
Un cliente molesto dice que hubo se cayo escalera cerca de Tony Roma's.,accidente en escalera,sso,2
Parece que hubo documento afuera de Marathon Sports.,perdida de documentos,administracion,1
Se observa sangre a la altura de zona de parqueaderos.,emergencia medica,sso,1
Guardias revisan caso de stand fuera de Adidas Store.,montaje de evento,mercadeo,1
Se detecta algo relacionado con documento en zona coworking.,perdida de documentos,administracion,1
Personal de limpieza vio rina en entrada principal.,pelea,seguridad,1
"Alguien avisó de no funciona ascensor en terraza, estaba una señora.",ascensor en falla,mantenimiento,2
Notifican desde área bancaria que ocurrió flyer.,publicidad,mercadeo,1
Notifican desde terraza que ocurrió insatisfecho.,queja de cliente,recepcion,1
Personal de limpieza vio sospechoso en planta baja.,persona sospechosa,seguridad,1
Por radios informan parpadeando en junto a Tía.,iluminacion danada,mantenimiento,1
Por radios informan hurtaron en piso 1.,robo,seguridad,1
Un colaborador menciona haber visto evento en zona de parqueaderos.,montaje de evento,mercadeo,1
Un guardia indica que hubo promocion en terraza.,publicidad,mercadeo,2
Varias personas mencionan fuga afuera de Juan Valdez.,fuga de agua,mantenimiento,1
Un colaborador menciona haber visto mal servicio en zona coworking.,queja de cliente,recepcion,1
Un colaborador menciona haber visto foco en zona coworking.,iluminacion danada,mantenimiento,1
según dicen comentó que vio lastimado por piso 1.,caida,sso,1
Personal de limpieza vio auxilio en pasillo central.,inconsciencia,sso,1
Hubo reclamo hace poco en zona de carga.,queja de cliente,recepcion,1
Guardias revisan caso de objeto perdido fuera de Coral Hipermercados.,objeto perdido,seguridad,3
Se detecta algo relacionado con accidente escalera en zona coworking.,caida,sso,3
Se genera alerta por recuperar en el sector de KFC.,objeto perdido,seguridad,1
Parece que hubo goteo afuera de Adidas Store.,fuga de agua,mantenimiento,1
Se observa stand a la altura de piso 1.,montaje de evento,mercadeo,1
Un cliente molesto dice que hubo lastimado cerca de Valentina.,caida,sso,1
"Reportan escalera en fuera de Pycca, estaba pasando entre medio raro.",persona sospechosa,seguridad,2
Un colaborador menciona haber visto decoracion en pasillo central.,montaje de evento,mercadeo,1
Visitantes informan quitar publicidad cerca de zona coworking.,publicidad,mercadeo,2
Se genera alerta por vehiculo en el sector de Sweet & Coffee.,vehiculo mal estacionado,seguridad,1
Un colaborador menciona haber visto evento en zona de carga.,montaje de evento,mercadeo,1
Se observa bulla a la altura de segundo piso.,ruido excesivo,administracion,1
Por radios informan fuga en patio de comidas.,fuga de agua,mantenimiento,1
"Reportan obstruyendo en junto a Tía, estaba pasando entre parece que.",vehiculo mal estacionado,seguridad,1
Parece que hubo no funciona ascensor afuera de Doña Menestra.,ascensor en falla,mantenimiento,2
Un guardia indica que hubo promocion en fuera de Pycca.,publicidad,mercadeo,2
Mensaje recibido: vigilado en terraza.,persona sospechosa,seguridad,1
Notifican desde fuera de Pycca que ocurrió recuperar.,objeto perdido,seguridad,1
Hubo perdi hace poco en junto a las escaleras eléctricas.,objeto perdido,seguridad,2
una señora comentó que vio anuncio por piso 1.,publicidad,mercadeo,1
full gente comentó que vio conflicto por fuera de Pycca.,pelea,seguridad,1
Varias personas mencionan merodeando afuera de Pícaro Resto Grill.,persona sospechosa,seguridad,1
Se observa perdido a la altura de cerca de Cinemark.,objeto perdido,seguridad,2
Se detecta algo relacionado con atencion medica en fuera de Pycca.,emergencia medica,sso,1
"Alguien avisó de ruido en junto a las escaleras eléctricas, estaba un guardia.",accidente en escalera,sso,2
Un cliente molesto dice que hubo corto circuito cerca de Juan Valdez.,cableado suelto,mantenimiento,1
Varias personas mencionan perdi documento afuera de De Prati.,objeto perdido,seguridad,3
Personal de limpieza vio obstruyendo en zona de carga.,vehiculo mal estacionado,seguridad,1
Un visitante dice que encontró desmontar cerca de Starbucks.,retiro material publicitario,mercadeo,1
"Alguien avisó de lastimado en pasillo central, estaba a cada rato.",caida,sso,1
Un visitante dice que encontró insatisfecho cerca de Juan Valdez.,queja de cliente,recepcion,1
Un visitante dice que encontró insatisfecho cerca de De Prati.,queja de cliente,recepcion,1
Visitantes informan expuesto cerca de zona coworking.,cableado suelto,mantenimiento,1
Se detecta algo relacionado con golpe en cerca de Cinemark.,caida,sso,1
Se genera alerta por inundacion en el sector de Sweet & Coffee.,fuga de agua,mantenimiento,1
Parece que hubo tropiezo escalera afuera de Tony Roma's.,accidente en escalera,sso,2
Varias personas mencionan molestia ruido afuera de Cinemark.,queja de cliente,recepcion,3
"Reportan herido en zona coworking, estaba pasando entre una señora.",emergencia medica,sso,1
Visitantes informan documento cerca de área bancaria.,perdida de documentos,administracion,1
como que comentó que vio gritando por zona coworking.,pelea,seguridad,1
Mensaje recibido: actitud sospechosa en patio de comidas.,persona sospechosa,seguridad,1
"Reportan documento en zona coworking, estaba pasando entre según dicen.",perdida de documentos,administracion,1
"Reportan accidente escalera en fuera de Pycca, estaba pasando entre a cada rato.",caida,sso,3
Por radios informan anuncio en cerca de Cinemark.,publicidad,mercadeo,1
un chico comentó que vio publicidad por pasillo central.,publicidad,mercadeo,1
En área bancaria un cliente reporta promocion cerca de Doña Menestra.,publicidad,mercadeo,2
Un visitante dice que encontró raro cerca de Coral Hipermercados.,persona sospechosa,seguridad,1
Mensaje recibido: remover en segundo piso.,retiro material publicitario,mercadeo,1
Se observa parpadeando a la altura de fuera de Pycca.,iluminacion danada,mantenimiento,1
Mensaje recibido: urgencia en fuera de Pycca.,emergencia medica,sso,1
Notifican desde terraza que ocurrió publicidad.,publicidad,mercadeo,1
Notifican desde junto a Tía que ocurrió cable.,cableado suelto,mantenimiento,1
Notifican desde fuera de Pycca que ocurrió decoracion.,montaje de evento,mercadeo,1
Un guardia indica que hubo accidente escalera en zona de parqueaderos.,caida,sso,3
"Alguien avisó de sangre en fuera de Pycca, estaba está feo eso.",emergencia medica,sso,1
Un guardia indica que hubo agua en área bancaria.,fuga de agua,mantenimiento,1
Hubo vigilado hace poco en área infantil.,persona sospechosa,seguridad,1
Mensaje recibido: gritando en terraza.,pelea,seguridad,1
Guardias revisan caso de charco fuera de Tony Roma's.,fuga de agua,mantenimiento,1
Notifican desde pasillo central que ocurrió apagado.,iluminacion danada,mantenimiento,1
Se observa atorado a la altura de zona de parqueaderos.,ascensor en falla,mantenimiento,1
En zona de parqueaderos un cliente reporta golpes cerca de Valentina.,pelea,seguridad,2
"Alguien avisó de fractura en piso 1, estaba justito.",emergencia medica,sso,1
Un colaborador menciona haber visto apagado en patio de comidas.,iluminacion danada,mantenimiento,1
Personal de limpieza vio escenario en área infantil.,montaje de evento,mercadeo,1
Visitantes informan dolor fuerte cerca de frente a Mega Kywi.,emergencia medica,sso,1
Hubo recuperar hace poco en patio de comidas.,objeto perdido,seguridad,1
Se observa extraviado a la altura de fuera de Pycca.,objeto perdido,seguridad,1
Notifican desde fuera de Pycca que ocurrió vehiculo.,vehiculo mal estacionado,seguridad,1
Un visitante dice que encontró promo cerca de Coral Hipermercados.,publicidad,mercadeo,1
Un colaborador menciona haber visto elevador en piso 1.,ascensor en falla,mantenimiento,1
Varias personas mencionan tropece afuera de Isla de helados.,caida,sso,1
Mensaje recibido: bulla en junto a Tía.,ruido excesivo,administracion,1
Parece que hubo golpe afuera de Starbucks.,caida,sso,1
En patio de comidas un cliente reporta archivo cerca de Doña Menestra.,perdida de documentos,administracion,1
Se observa obstruyendo a la altura de cerca de Cinemark.,vehiculo mal estacionado,seguridad,1
Un cliente molesto dice que hubo mojado cerca de Pycca.,fuga de agua,mantenimiento,1
Un guardia indica que hubo stand en zona de parqueaderos.,montaje de evento,mercadeo,1
Por radios informan resbale en entrada principal.,caida,sso,1
Mensaje recibido: electricidad en planta baja.,cableado suelto,mantenimiento,1
Se genera alerta por se desmayo en el sector de Valentina.,inconsciencia,sso,1
Por radios informan vigilado en zona de carga.,persona sospechosa,seguridad,1
Mensaje recibido: se me cayo en zona de parqueaderos.,objeto perdido,seguridad,1
Varias personas mencionan promocion afuera de Cinemark.,publicidad,mercadeo,2
Notifican desde terraza que ocurrió urgencia.,emergencia medica,sso,1
En área bancaria un cliente reporta mal servicio cerca de Mi Comisariato.,queja de cliente,recepcion,1
Hubo violencia hace poco en área infantil.,robo,seguridad,1
Hubo documento hace poco en pasillo central.,perdida de documentos,administracion,1
Un visitante dice que encontró resbale cerca de Mi Comisariato.,caida,sso,1
Se detecta algo relacionado con resbalon en planta baja.,caida,sso,1
Un cliente molesto dice que hubo se llevaron cerca de Mega Kywi.,robo,seguridad,1
Se observa atencion medica a la altura de cerca de Cinemark.,emergencia medica,sso,1
Notifican desde zona de parqueaderos que ocurrió ambulancia.,inconsciencia,sso,1
Personal de limpieza vio publicidad en área infantil.,publicidad,mercadeo,1
Personal de limpieza vio inconsciente en entrada principal.,inconsciencia,sso,1
Un visitante dice que encontró golpes cerca de Pícaro Resto Grill.,pelea,seguridad,2
Un visitante dice que encontró resbale cerca de De Prati.,caida,sso,1
Personal de limpieza vio se cayo escalera en piso 1.,accidente en escalera,sso,2
Un visitante dice que encontró documento cerca de McDonald's.,perdida de documentos,administracion,1
Personal de limpieza vio estacionado en fuera de Pycca.,vehiculo mal estacionado,seguridad,1
En patio de comidas un cliente reporta charco cerca de Pycca.,fuga de agua,mantenimiento,1
Visitantes informan expuesto cerca de cerca de Cinemark.,cableado suelto,mantenimiento,1
Guardias revisan caso de remover fuera de Claro.,retiro material publicitario,mercadeo,1
Se detecta algo relacionado con queja en área infantil.,queja de cliente,recepcion,1
está feo eso comentó que vio conflicto por zona coworking.,pelea,seguridad,1
