mensaje_limpio,area
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PDU6143.,RECEPCION
CONSULTA FRECUENTE: Múltiples clientes preguntando por los horarios por el feriado. Se confirma la información para estandarizar respuesta.,RECEPCION
El Community Manager dice q hay un troll en los comentarios de Instagram. Ojo con eso.,MERCADEO
CIERRE DE CASO: La novedad sobre cliente agresivo a sido controlada. el prevencionista reporta normalidad en la zona. Estado final: resuelta temporalmente.,RECEPCION
NUEVA ORDEN DE TRABAJO: Falla reportada en el tablero eléctrico del ala sur ubicado en el pasillo de cervicios. Síntoma: no enciende.,MANTENIMIENTO
CIERRE DE CASO: La novedad sobre cliente agresivo a sido controlada. el prevencionista reporta normalidad en la zona. Estado final: siendo atendida.,RECEPCION
OBJETO ENCONTRADO: Ce a reportado el allazgo de unas llaves de auto (marca Chevrolet) en el área de juegos infantiles. Se custodia en recepción bajo el código 749.,RECEPCION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el ascensor panorámico de 23:00 a 01:00.,MANTENIMIENTO
El Anfitrión ta ayudando a un cliente a encontrar su carro.,RECEPCION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas TDI7558.,RECEPCION
CIERRE DE CASO: La novedad sobre intento de hurto a sido controlada. el operador de cámaras reporta normalidad en la zona. Estado final: cerrada con observación.,SEGURIDAD
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el ascensor panorámico de 23:00 a 01:00.,MANTENIMIENTO
"Xfa, berificar q el letrero de riesgo electrico se vea bien.",MANTENIMIENTO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Sweet Coffee fue advertido por material inflamable mal almacenado. Se corrije la postura.,SEGURIDAD
El asensor de carga ta ocupado. lo liveran en 10 min.,ADMINISTRACION
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de el tablero eléctrico del ala sur, se reprograma para mantenimiento nocturno. El estado actual es: pendiente por repuesto.",MANTENIMIENTO
Fin del dia. se guardan las cosas perdidas y se cierra el punto. asta mañana!,RECEPCION
"SEGUIMIENTO: Sobre el caso de carterista reportado en la zona bancaria, se realiza monitoreo por cámaras. El estado actual es: solucionada.",ADMINISTRACION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de kit antiderrames en el sector de Claro. Novedades serán reportadas.,ADMINISTRACION
SEGUIMIENTO SSO: La condición de fuga de gas en local de comida en Movistar a sido mitigada. Estado actual: requiere proveedor externo.,MANTENIMIENTO
Una sra dejo un cel q se encontro en el baño. q bn q aya gente asi.,MANTENIMIENTO
ALERTA DE RIESGO: Se detecta andamio sin ceñalizar en la sala de lactancia. el operador de cámaras y ce detiene la labor del contratista.,SSO
NUEVA ORDEN DE TRABAJO: Falla reportada en el tablero eléctrico del ala sur ubicado en la entrada de la Av. Orellana. Síntoma: apagado repentino.,MANTENIMIENTO
Inspeccion de la escalera de emergencia. esta limpia y con la puerta funcional.,MANTENIMIENTO
Huele feo en una de las bodegas. q alguien de limpieza chequee q es.,ADMINISTRACION
ALERTA DE RIESGO: Se detecta fuga de gas en local de comida en Mi Juguetería. el técnico residente y ce brinda primeros auxilios.,MANTENIMIENTO
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de una luminaria del parqueadero P3, se solicita cotización de repuesto. El estado actual es: cerrada con observación.",MANTENIMIENTO
TRABAJO FINALIZADO: El la puerta automática del acceso principal a sido reparado. Queda operativo. Estado final: en monitoreo.,MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas TDA8100.,RECEPCION
"Quien tiene los datos del la asistencia de hoy? Pasen para el informe, es para mañana a primera hora.",ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por la clave del WiFi. Se confirma la información para estandarizar respuesta.,RECEPCION
"SEGUIMIENTO: Sobre el caso de conato de riña en la sala de lactancia, se entrevista a testigos. El estado actual es: escalada a gerencia.",ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en el patio de comidas fue advertido por piso mojado sin señalizar. Se corrije la postura.,SSO
"SEGUIMIENTO: Sobre el caso de persona sospechosa en el parqueadero subterráneo 2, se realiza monitoreo por cámaras. El estado actual es: pendiente por repuesto.",ADMINISTRACION
"Nesesito un guardia en el punto de info, un cliente se puso pesado.",SEGURIDAD
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de el generador de emergencia, se solicita cotización de repuesto. El estado actual es: solucionada.",MANTENIMIENTO
"SEGUIMIENTO: Sobre el caso de vehículo abandonado en Adidas, se aísla el área. El estado actual es: requiere proveedor externo.",ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita un coche para bebé. el paramédico brindando asistencia.,RECEPCION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PDA2790.,RECEPCION
Se iso un anuncio x el parlante pa un carro mal parkeado.,ADMINISTRACION
La campaña del dia del padre ya tiene el arte aprobado. Bien ahi Coordinador de Mkt!,MERCADEO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas GCU7691.,RECEPCION
CIERRE DE CASO: La novedad sobre activación de botón de pánico a sido controlada. el personal de limpieza reporta normalidad en la zona. Estado final: siendo atendida.,ADMINISTRACION
NUEVA ORDEN DE TRABAJO: Falla reportada en la bomba de agua del subsuelo 1 ubicado en Todo Hogar. Síntoma: panel no responde.,MANTENIMIENTO
"SEGUIMIENTO: Sobre el caso de carterista reportado en el área de juegos infantiles, ce revisan grabaciones. El estado actual es: siendo atendida.",ADMINISTRACION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PBE3855.,RECEPCION
Rebision de luses de emerjencia. todas funsionan.,ADMINISTRACION
"La señaletica de salida de emergencia esta tapada por una publicidad. Marketing, a corregir eso.",MERCADEO
TRABAJO FINALIZADO: El la bomba de agua del subsuelo 1 a sido reparado. Queda operativo. Estado final: reportada.,MANTENIMIENTO
"SEGUIMIENTO: Sobre el caso de menor extraviado en Banco Pichincha, se procede a retirar al individuo. El estado actual es: reportada.",ADMINISTRACION
CIERRE DE CASO: La novedad sobre carterista reportado a sido controlada. el coordinador de operaciones reporta normalidad en la zona. Estado final: en verificación.,ADMINISTRACION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas GBE7055.,RECEPCION
Wenos dias equipo! a darle con todo.,ADMINISTRACION
NUEVA ORDEN DE TRABAJO: Falla reportada en la compactadora de basura ubicado en Todo Hogar. Síntoma: olor a quemado.,MANTENIMIENTO
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita la ubicación del baño familiar. el técnico residente brindando asistencia.,MANTENIMIENTO
Encontramos una mochila en la parqueadero subsuelo 2. la llevamos a recepcion.,ADMINISTRACION
"SEGUIMIENTO: Sobre el caso de intento de hurto en el cuarto de generadores, ce revisan grabaciones. El estado actual es: pendiente por repuesto.",SEGURIDAD
CONSULTA FRECUENTE: Múltiples clientes preguntando por la ubicación de los cajeros automáticos. Se confirma la información para estandarizar respuesta.,RECEPCION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PCI1014.,RECEPCION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en los baños del segundo piso fue advertido por material inflamable mal almacenado. Se corrije la postura.,MANTENIMIENTO
Relevo del Guardia de turno en la puerta 5 listo. todo ok.,MANTENIMIENTO
NUEVA ALERTA: Ce reporta cliente agresivo involucrando a una pareja discutiendo a gritos en Sweet Coffee. el coordinador de operaciones en camino.,RECEPCION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Mi Juguetería fue advertido por andamio sin señalizar. Se corrije la postura.,SEGURIDAD
OBJETO ENCONTRADO: Ce a reportado el allazgo de una cédula de identidad en Crepes Waffles. Se custodia en recepción bajo el código 896.,RECEPCION
El fotógrafo anda por ahi? necesito unas tomas del público para Facebook.,ADMINISTRACION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de luz de emergencia en el sector de Supercines. Novedades serán reportadas.,ADMINISTRACION
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de el extractor de olores del patio de comidas, se aísla el circuito. El estado actual es: pendiente por repuesto.",MANTENIMIENTO
Recibida alerta de panico desde la joyeria. unidades en camino.,ADMINISTRACION
CIERRE DE CASO: La novedad sobre conato de riña a sido controlada. el prevencionista reporta normalidad en la zona. Estado final: reportada.,ADMINISTRACION
"Dia tranki. la prebension funsiona, sigamos asi.",ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita la ubicación del baño familiar. el anfitrión de servicio al cliente brindando asistencia.,MANTENIMIENTO
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en la bomba de agua del subsuelo 1 de 23:00 a 01:00.,MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PBI6204.,RECEPCION
Un cliente dice q el baño de mujeres del 2do piso esta susio. pasando el dato a mantenimiento.,MANTENIMIENTO
"Xfa, berificar q el letrero de riesgo electrico se vea bien.",MANTENIMIENTO
ALERTA DE RIESGO: Se detecta andamio sin señalizar en Banco Pichincha. el anfitrión de servicio al cliente y se coloca señalética de advertencia.,SSO
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita la ubicación del baño familiar. el supervisor de turno brindando asistencia.,MANTENIMIENTO
Reportan un carro mal parqueado en la zona de cines. nesesito apollo.,ADMINISTRACION
TRABAJO FINALIZADO: El una luminaria del parqueadero P3 a sido reparado. Queda operativo. Estado final: en verificación.,MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PBU4171.,RECEPCION
SEGUIMIENTO SSO: La condición de cable expuesto en pasillo en el patio de comidas a sido mitigada. Estado actual: pendiente por repuesto.,ADMINISTRACION
NUEVA ORDEN DE TRABAJO: Falla reportada en el tablero eléctrico del ala sur ubicado en Crepes Waffles. Síntoma: fuga de agua.,MANTENIMIENTO
Ya subieron el post de gracias por venir a la web? usen las mejores fotos.,ADMINISTRACION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en la compactadora de basura de 23:00 a 01:00.,MANTENIMIENTO
NUEVA ALERTA: Ce reporta daño a la propiedad involucrando a una pareja discutiendo a gritos en Fybeca. el anfitrión de cervisio al cliente en camino.,RECEPCION
Terminamos x oy. todo serado con yave.,ADMINISTRACION
Monitoreo preventivo: Operador de cámaras reporta una persona desorientada con actitud inusual en la entrada de la Av. Orellana. Ce mantiene vijilancia activa.,ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Lee fue advertido por fuga de gas en local de comida. Se corrije la postura.,MANTENIMIENTO
TRABAJO FINALIZADO: El el extractor de olores del patio de comidas a sido reparado. Queda operativo. Estado final: resuelta temporalmente.,MANTENIMIENTO
Se solicita presencia en el Pycca por conato de discusion.,SEGURIDAD
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de DEA (Desfibrilador) en el sector de Claro. Novedades serán reportadas.,ADMINISTRACION
ALERTA DE RIESGO: Se detecta fuga de gas en local de comida en el área de juegos infantiles. el paramédico y se despeja la ruta de evacuación.,MANTENIMIENTO
Rebision de luses de emerjencia. todas funsionan.,ADMINISTRACION
NUEVA ALERTA: Ce reporta persona sospechosa involucrando a una pareja discutiendo a gritos en Movistar. el técnico residente en camino.,ADMINISTRACION
Monitoreo preventivo: Operador de cámaras reporta un cliente en estado etílico con actitud inusual en el patio de comidas. Ce mantiene vijilancia activa.,RECEPCION
TRABAJO FINALIZADO: El el generador de emerjencia a sido reparado. Queda operativo. Estado final: en verificación.,MANTENIMIENTO
OBJETO ENCONTRADO: Ce a reportado el hallazgo de una cédula de identidad en Marathon Sports. Se custodia en recepción bajo el código 121.,RECEPCION
La prensa llegó. Quien los atiende? Pilas con lo que dicen.,ADMINISTRACION
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Fybeca fue advertido por activación de detector de humo. Se corrije la postura.,SEGURIDAD
"SEGUIMIENTO: Sobre el caso de vandalismo en baños en Mi Juguetería, se procede a retirar al individuo. El estado actual es: siendo atendida.",MANTENIMIENTO
"Nesesito un plomero URGENTE en la bodegas, un lababo no para de gotear.",MANTENIMIENTO
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de el extractor de olores del patio de comidas, se solicita repuesto a bodega. El estado actual es: siendo atendida.",MANTENIMIENTO
CIERRE DE CASO: La novedad sobre cliente agresivo a sido controlada. la unidad motorizada Alpha1 reporta normalidad en la zona. Estado final: pendiente por repuesto.,RECEPCION
La prensa llegó. Quien los atiende? Pilas con lo que dicen.,ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por la clave del WiFi. Se confirma la información para estandarizar respuesta.,RECEPCION
CONSULTA FRECUENTE: Múltiples clientes preguntando por los horarios por el feriado. Se confirma la información para estandarizar respuesta.,RECEPCION
Monitoreo preventivo: Operador de cámaras reporta un individuo con mochila y gorra con actitud inusual en KFC. Ce mantiene vijilancia activa.,ADMINISTRACION
TRABAJO FINALIZADO: El la bomba de agua del subsuelo 1 a sido reparado. Queda operativo. Estado final: reportada.,MANTENIMIENTO
"Nesesito un plomero URGENTE en la plaza de comidas, un lababo no para de gotear.",MANTENIMIENTO
"Sip, ya esta areglada la puerta automatica de la entrada 2. funsionando ok.",MANTENIMIENTO
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita asistencia para llamar a un taxi seguro. el personal de limpieza brindando asistencia.,RECEPCION
Monitoreo preventivo: Operador de cámaras reporta el conductor de un Spark GT rojo con actitud inusual en la azotea técnica. Ce mantiene vijilancia activa.,ADMINISTRACION
"SEGUIMIENTO: Sobre el caso de daño a la propiedad en Movistar, se notifica a la Policía Nacional. El estado actual es: en monitoreo.",ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por la clave del WiFi. Se confirma la información para estandarizar respuesta.,RECEPCION
CIERRE DE CASO: La novedad sobre persona sospechosa a sido controlada. el operador de cámaras reporta normalidad en la zona. Estado final: en monitoreo.,ADMINISTRACION
"Empezó el firma de autógrafos!!! full gente, hagamos live en insta AHORA.",ADMINISTRACION
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de el generador de emergencia, se realiza mantenimiento correctivo. El estado actual es: escalada a gerencia.",MANTENIMIENTO
ALERTA DE RIESGO: Se detecta activación de detector de humo en el patio de comidas. la unidad motorizada Alpha1 y se verifica la causa de la alarma.,SSO
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en la compactadora de basura de 23:00 a 01:00.,MANTENIMIENTO
ALERTA DE RIESGO: Se detecta piso mojado sin señalizar en Movistar. el coordinador de operaciones y se verifica la causa de la alarma.,SSO
Hay un cable suelto en el pasillo. Electricista notificado para que lo aisle.,MANTENIMIENTO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Sukasa fue advertido por andamio sin señalizar. Se corrije la postura.,SEGURIDAD
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de detector de humo en el sector de Supercines. Novedades serán reportadas.,ADMINISTRACION
NUEVA ORDEN DE TRABAJO: Falla reportada en el extractor de olores del patio de comidas ubicado en Lee. Síntoma: fuga de agua.,MANTENIMIENTO
Monitoreo preventivo: Operador de cámaras reporta un cliente en estado etílico con actitud inusual en Banco Pichinca. Ce mantiene vijilancia activa.,RECEPCION
CIERRE DE CASO: La novedad sobre daño a la propiedad a sido controlada. el coordinador de operaciones reporta normalidad en la zona. Estado final: pendiente por repuesto.,ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita asistencia para llamar a un taxi ceguro. el anfitrión de cervisio al cliente brindando asistencia.,RECEPCION
Fin de turno. sin novedades grabes. entregado el turno al otro grupo.,ADMINISTRACION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de gabinete contra incendios en el sector de GMO. Novedades serán reportadas.,SSO
Se acabó el alcohol en gel del dispensador de informacion.,RECEPCION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en la escalera eléctrica 3 de 23:00 a 01:00.,MANTENIMIENTO
TRABAJO FINALIZADO: El el extractor de olores del patio de comidas a sido reparado. Queda operativo. Estado final: siendo atendida.,MANTENIMIENTO
OBJETO ENCONTRADO: Ce a reportado el hallazgo de una laptop en su maletín en Payless. Se custodia en recepción bajo el código 152.,RECEPCION
SEGUIMIENTO SSO: La condición de piso mojado sin ceñalizar en Sukasa a sido mitigada. Estado actual: cerrada con obcervación.,SSO
CIERRE DE CASO: La novedad sobre intento de hurto a sido controlada. el coordinador de operaciones reporta normalidad en la zona. Estado final: cerrada con observación.,SEGURIDAD
Se atendio a una pers con un corte en la mano. nada grabe.,ADMINISTRACION
Se iso un anuncio x el parlante pa un carro mal parkeado.,ADMINISTRACION
TRABAJO FINALIZADO: El el generador de emergencia a sido reparado. Queda operativo. Estado final: en verificación.,MANTENIMIENTO
NUEVA ALERTA: Ce reporta menor extraviado involucrando a un individuo con mochila y gorra en Marathon Sports. el técnico residente en camino.,ADMINISTRACION
OBJETO ENCONTRADO: Ce a reportado el hallazgo de una laptop en su maletín en Pizza Hut. Se custodia en recepción bajo el código 728.,RECEPCION
CIERRE DE CASO: La novedad sobre activación de botón de pánico a sido controlada. el prevencionista reporta normalidad en la zona. Estado final: solucionada.,ADMINISTRACION
Se atendio a una pers con un corte en la mano. nada grabe.,ADMINISTRACION
El Community Manager dice q hay un troll en los comentarios de la web. Ojo con eso.,ADMINISTRACION
SEGUIMIENTO SSO: La condición de cable expuesto en pasillo en Movistar a sido mitigada. Estado actual: reportada.,ADMINISTRACION
Monitoreo preventivo: Operador de cámaras reporta una persona desorientada con actitud inusual en Banco Pichincha. Ce mantiene vijilancia activa.,ADMINISTRACION
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas GBU5376.,RECEPCION
ALERTA DE RIESGO: Se detecta fuga de gas en local de comida en Pizza Hut. el anfitrión de servisio al cliente y se coloca señalética de advertencia.,MANTENIMIENTO
La campaña del dia del padre ya tiene el arte aprobado. Bien ahi Asistente de Eventos!,MERCADEO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas TBA3604.,RECEPCION
NUEVA ORDEN DE TRABAJO: Falla reportada en el ascensor panorámico ubicado en la sala de lactancia. Síntoma: cortocircuito.,MANTENIMIENTO
CIERRE DE CASO: La novedad sobre cliente agresivo a sido controlada. el personal de limpieza reporta normalidad en la zona. Estado final: requiere proveedor externo.,RECEPCION
OBJETO ENCONTRADO: Ce a reportado el hallazgo de un iPhone 15 en Crepes Waffles. Se custodia en recepción bajo el código 123.,RECEPCION
El basurero de la entrada ta full. pasen a recojerlo.,MANTENIMIENTO
NUEVA ORDEN DE TRABAJO: Falla reportada en el extractor de olores del patio de comidas ubicado en el pasillo central. Síntoma: apagado repentino.,MANTENIMIENTO
"SEGUIMIENTO: Sobre el caso de daño a la propiedad en el cuarto de generadores, se procede a retirar al individuo. El estado actual es: reportada.",ADMINISTRACION
ALERTA DE RIESGO: Se detecta andamio sin señalizar en Payless. el operador de cámaras y se notifica a limpiezamantenimiento.,MANTENIMIENTO
OBJETO ENCONTRADO: Ce a reportado el hallazgo de unas llaves de auto (marca Chevrolet) en De Prati. Se custodia en recepción bajo el código 796.,RECEPCION
Se atendio a una pers con un corte en la mano. nada grabe.,ADMINISTRACION
CIERRE DE CASO: La novedad sobre activación indebida de manguera de incendios a sido controlada. el operador de cámaras reporta normalidad en la zona. Estado final: resuelta temporalmente.,SSO
CIERRE DE CASO: La novedad sobre daño a la propiedad a sido controlada. el prevencionista reporta normalidad en la zona. Estado final: en verificación.,ADMINISTRACION
ALERTA DE RIESGO: Se detecta piso mojado sin señalizar en Crepes Waffles. el supervisor de turno y se notifica a limpiezamantenimiento.,MANTENIMIENTO
Se está cambiando un vidrio roto en la cuarto de bombas. Area acordonada.,MANTENIMIENTO
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de kit antiderrames en el sector de Marathon Sports. Novedades serán reportadas.,ADMINISTRACION
CIERRE DE CASO: La novedad sobre vandalismo en baños a sido controlada. el técnico residente reporta normalidad en la zona. Estado final: cerrada con obcervación.,MANTENIMIENTO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Explorer fue advertido por uso incorrecto de EPP por contratista. Se corrije la postura.,SSO
Wenos dias! el punto de info ya esta abierto.,RECEPCION
El gerente del Cinemark kiere ayuda pa cerrar. mandando a alguien.,ADMINISTRACION
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de kit antiderrames en el cector de las gradas eléctricas del ala norte. Novedades cerán reportadas.,ADMINISTRACION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita una silla de ruedas. el coordinador de operaciones brindando asistencia.,RECEPCION
"Un sr nesesita una siya de ruedas en la entrada 3, q alguien de segurida ayude xfa.",ADMINISTRACION
TRABAJO FINALIZADO: El la compactadora de basura a sido reparado. Queda operativo. Estado final: siendo atendida.,MANTENIMIENTO
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita ayuda para encontrar un veiculo en el parqadero. el paramédico brindando asistencia.,RECEPCION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en la escalera eléctrica 3 de 23:00 a 01:00.,MANTENIMIENTO
TRABAJO FINALIZADO: El el sistema de AC (chiller 2) a sido reparado. Queda operativo. Estado final: en verificación.,MANTENIMIENTO
"Xfa, berificar q el letrero de riesgo electrico se vea bien.",MANTENIMIENTO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en Marathon Sports fue advertido por uso incorrecto de EPP por contratista. Se corrije la postura.,SSO
"Gente, ya está el post de buenos días en Instagram? avisen cdo esté live.",MERCADEO
"ACTUALIZACIÓN TÉCNICA: Respecto a la falla de el generador de emergencia, se asigna técnico especialista. El estado actual es: escalada a gerencia.",MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PBE8211.,RECEPCION
CONSULTA FRECUENTE: Múltiples clientes preguntando por dónde puedo pagar el parqueadero. Se confirma la información para estandarizar respuesta.,RECEPCION
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita un coche para bebé. el prevencionista brindando asistencia.,RECEPCION
Monitoreo preventivo: Operador de cámaras reporta un vendedor informal con actitud inusual en la rampa de acceso a Supercines. Ce mantiene vijilancia activa.,ADMINISTRACION
CONSULTA FRECUENTE: Múltiples clientes preguntando por dónde puedo pagar el parqadero. Se confirma la información para estandarizar respuesta.,RECEPCION
NUEVA ALERTA: Ce reporta vandalismo en baños involucrando a un individuo con mochila y gorra en Explorer. el prevencionista en camino.,MANTENIMIENTO
Ya no ay mapas del mall. hay q pedir mas a marketing.,MERCADEO
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en una luminaria del parqadero P3 de 23:00 a 01:00.,MANTENIMIENTO
Monitoreo preventivo: Operador de cámaras reporta una persona desorientada con actitud inusual en la azotea técnica. Ce mantiene vijilancia activa.,ADMINISTRACION
TRABAJO FINALIZADO: El el extractor de olores del patio de comidas a sido reparado. Queda operativo. Estado final: requiere proveedor externo.,MANTENIMIENTO
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de kit antiderrames en el sector de el pasillo de servicios. Novedades serán reportadas.,ADMINISTRACION
"SEGUIMIENTO: Sobre el caso de intento de hurto en los baños del segundo piso, se aísla el área. El estado actual es: siendo atendida.",MANTENIMIENTO
Full gente pregunta x la promo del sorteo. pasenme toda la info para no desir cualkier cosa.,RECEPCION
El Community Manager dice q hay un troll en los comentarios de TikTok. Ojo con eso.,MERCADEO
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en la compactadora de basura de 23:00 a 01:00.,MANTENIMIENTO
TRABAJO FINALIZADO: El una luminaria del parqueadero P3 a sido reparado. Queda operativo. Estado final: en verificación.,MANTENIMIENTO
NUEVA ALERTA: Ce reporta menor extraviado involucrando a un grupo de 3 jóvenes en Mi Juguetería. el técnico residente en camino.,ADMINISTRACION
OBJETO ENCONTRADO: Ce a reportado el hallazgo de un paraguas negro en Explorer. Se custodia en recepción bajo el código 799.,RECEPCION
"SEGUIMIENTO: Sobre el caso de intento de hurto en Fybeca, se procede a retirar al individuo. El estado actual es: en monitoreo.",SEGURIDAD
"SEGUIMIENTO: Sobre el caso de activación indebida de manguera de incendios en Explorer, ce toma declaración al afectado. El estado actual es: reportada.",SSO
CONSULTA FRECUENTE: Múltiples clientes preguntando por la clave del WiFi. Se confirma la información para estandarizar respuesta.,RECEPCION
TRABAJO FINALIZADO: El el ascensor panorámico a sido reparado. Queda operativo. Estado final: resuelta temporalmente.,MANTENIMIENTO
El Supermaxi se keja q el aire no enfria. ya vamos a ver.,MANTENIMIENTO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en la entrada de la Av. Orellana fue advertido por material inflamable mal almacenado. Se corrije la postura.,SEGURIDAD
CONSULTA FRECUENTE: Múltiples clientes preguntando por los horarios por el feriado. Se confirma la información para estandarizar respuesta.,RECEPCION
El Paramédico verifica que los pasillos esten despejados.,ADMINISTRACION
NUEVA ORDEN DE TRABAJO: Falla reportada en el tablero eléctrico del ala sur ubicado en KFC. Síntoma: ruido inusual.,MANTENIMIENTO
El op de cctv dice q ay un grupo sospechoso serca del KFC. el Motorizado ya va a ver.,SEGURIDAD
NUEVA ALERTA: Ce reporta activación indebida de manguera de incendios involucrando a el conductor de un Spark GT rojo en Payless. el coordinador de operaciones en camino.,SSO
Ojo un carro placa PXX1234 esta blokeando la salida. yamen al dueño x alta bos.,ADMINISTRACION
SEGUIMIENTO SSO: La condición de uso incorrecto de EPP por contratista en Mi Juguetería a sido mitigada. Estado actual: requiere proveedor externo.,SSO
OBSERVACIÓN DE SEGURIDAD: Contratista asiendo trabajos en el patio de comidas fue advertido por uso incorrecto de EPP por contratista. Se corrije la postura.,SSO
ALERTA DE RIESGO: Se detecta material inflamable mal almacenado en la azotea técnica. el personal de limpieza y se verifica la causa de la alarma.,SSO
Una sra dejo un cel q se encontro en el baño. q bn q aya gente asi.,MANTENIMIENTO
SERVICIO AL CLIENTE: Un visitante en el punto de información solicita una silla de ruedas. el prevencionista brindando asistencia.,RECEPCION
CIERRE DE CASO: La novedad sobre activación de botón de pánico a sido controlada. el personal de limpieza reporta normalidad en la zona. Estado final: pendiente por repuesto.,ADMINISTRACION
Todo el personal de seguridad en sus puestos asignados. listos para la apertura.,SEGURIDAD
Se solicita presencia en el Etafashion por conato de discusion.,SEGURIDAD
CIERRE DE CASO: La novedad sobre vandalismo en baños a sido controlada. el prevencionista reporta normalidad en la zona. Estado final: solucionada.,MANTENIMIENTO
INSPECCIÓN DE RUTINA: Se esta realizando la verificacion periódica de gabinete contra incendios en el cector de Crepes Waffles. Novedades cerán reportadas.,SSO
El Prevencionista verifica que los pasillos esten despejados.,ADMINISTRACION
Mantenimiento programado: Ce informa q ce realizará mantenimiento preventivo en el tablero eléctrico del ala sur de 23:00 a 01:00.,MANTENIMIENTO
ANUNCIO GENERAL: Ce procede a realizar un anuncio por altavoz para el propietario del veiculo de placas PCI5409.,RECEPCION
"El piso en la entrada ta mojado x la yuvia, ya pedi a mantenimiento q pongan el letrero amarillo.",MANTENIMIENTO
CONSULTA FRECUENTE: Múltiples clientes preguntando por la ubicación de los cajeros automáticos. Se confirma la información para estandarizar respuesta.,RECEPCION
Monitoreo preventivo: Operador de cámaras reporta el conductor de un Spark GT rojo con actitud inusual en Lee. Ce mantiene vijilancia activa.,ADMINISTRACION
